table[0]:  3 0
table[14931]: feeble 5 0
table[14951]: feebly 1 0
table[14958]: pan 1 0
table[14959]: coral 1 0
table[14964]: pat 5 0
table[14967]: paw 5 0
table[14969]: pay 5 0
table[14988]: woes 1 0
table[14991]: thou 485 0
table[15001]: fills 1 0
table[15006]: rudeness 1 0
table[15015]: blazon 1 0
table[15043]: suited 3 0
table[15048]: hatred 1 0
table[15069]: prizing 1 0
table[15078]: 'thus 1 0
table[15082]: pen 19 0
table[15088]: pet 1 0
table[15096]: oaths' 1 0
table[15102]: madding 1 0
table[15117]: treading 3 0
table[15122]: esteemed 3 0
table[15160]: woke 1 0
table[15164]: dwell 11 0
table[15175]: thus 43 0
table[15192]: wolf 1 0
table[15197]: pie 7 0
table[15199]: pig 21 0
table[15201]: hedgehogs 5 0
table[15214]: votary 1 0
